cluster,temp_yoy_change,temp_cumulative_change,bws_raw,drr_raw
-1,-0.0990650406504065,-0.22116089039165973,0.4211438331850451,0.4586131511099279
0,-0.011147540983606626,0.3088888888888881,3.0748706648569,0.3332143392596206
1,0.1546,0.42009523809523835,0.7263871636650392,0.3847656640365148
2,-0.2108,0.45266666666666655,0.27137996562092953,0.7171158538128184
3,-0.14190839694656485,-0.12787545787545768,0.8847381686486465,0.7224799669541364
4,-0.16114285714285717,-1.110408163265306,0.3975491984333258,0.4543709471493906
5,-0.24008333333333334,-1.1877777777777783,0.11847707411768038,0.5657630945224473
6,-0.2693333333333333,-0.920079365079365,0.553040259385201,0.533644516281823
7,-0.015672016048144437,0.3862648809523803,0.28450216415054425,0.44613372443092913
8,-0.27918750000000003,-0.03869047619047623,0.09647212181778168,0.43841565671270694
9,-0.05396694214876036,-0.33341269841269877,0.5223911067055065,0.662352854584326
10,-0.2163,-0.46847619047619027,0.148301292667942,0.6244422738041109
11,-0.08378571428571438,0.0730612244897953,0.15539749266277003,0.32877402078440654
12,-0.2510666666666667,-0.5533968253968253,0.09079945513102608,0.37147168617294624
13,-0.1250625,-0.04249999999999998,0.5591648372244861,0.5446553045671438
14,-0.1046111111111111,-0.4737037037037036,0.1296060775719379,0.5576371714357307
15,-0.04622710622710622,-0.0229100529100532,0.14731774568476225,0.655050139151553
16,-0.14189285714285715,-0.39452380952380944,0.06489943138472407,0.48113944065024145
17,-0.1348214285714286,-0.5215151515151522,0.16669743473330614,0.37208297697796017
